candidate_type,label,s2c_frame,body_offset,crib_variant,valid_slots,conflict_slots,payload_len,validation_score,key_recovered,key_slots_covered,text_found_exact,utf16le_plausible,comp_valid,opcode_xor_val,slot_consistency_group,group_candidate_count,consistent_group
motd_phase5,Aion,4124,14,Aion_len8,8,0,1460,14,false,true,false,true,true,74,frame:4124|label:Aion|offset_mod8:6,4,true
motd_phase5,Aion,4107,0,Aion_len8,8,0,1460,12,false,true,false,true,false,1,frame:4107|label:Aion|offset_mod8:0,5,true
motd_phase5,Aion,4107,2,Aion_len8,8,0,1460,12,false,true,false,true,false,76,frame:4107|label:Aion|offset_mod8:2,4,true
motd_phase5,Aion,4107,4,Aion_len8,8,0,1460,12,false,true,false,true,false,77,frame:4107|label:Aion|offset_mod8:4,4,true
motd_phase5,Aion,4107,6,Aion_len8,8,0,1460,12,false,true,false,true,false,79,frame:4107|label:Aion|offset_mod8:6,4,true
motd_phase5,Aion,4107,8,Aion_len8,8,0,1460,12,false,true,false,true,false,39,frame:4107|label:Aion|offset_mod8:0,5,true
motd_phase5,Aion,4107,10,Aion_len8,8,0,1460,12,false,true,false,true,false,146,frame:4107|label:Aion|offset_mod8:2,4,true
motd_phase5,Aion,4107,12,Aion_len8,8,0,1460,12,false,true,false,true,false,147,frame:4107|label:Aion|offset_mod8:4,4,true
motd_phase5,Aion,4107,14,Aion_len8,8,0,1460,12,false,true,false,true,false,153,frame:4107|label:Aion|offset_mod8:6,4,true
motd_phase5,Aion,4107,16,Aion_len8,8,0,1460,12,false,true,false,true,false,193,frame:4107|label:Aion|offset_mod8:0,5,true
motd_phase5,Aion,4107,18,Aion_len8,8,0,1460,12,false,true,false,true,false,227,frame:4107|label:Aion|offset_mod8:2,4,true
motd_phase5,Aion,4107,20,Aion_len8,8,0,1460,12,false,true,false,true,false,226,frame:4107|label:Aion|offset_mod8:4,4,true
motd_phase5,Aion,4107,22,Aion_len8,8,0,1460,12,false,true,false,true,false,232,frame:4107|label:Aion|offset_mod8:6,4,true
motd_phase5,Aion,4107,24,Aion_len8,8,0,1460,12,false,true,false,true,false,16,frame:4107|label:Aion|offset_mod8:0,5,true
motd_phase5,Aion,4107,26,Aion_len8,8,0,1460,12,false,true,false,true,false,5,frame:4107|label:Aion|offset_mod8:2,4,true
motd_phase5,Aion,4107,28,Aion_len8,8,0,1460,12,false,true,false,true,false,4,frame:4107|label:Aion|offset_mod8:4,4,true
motd_phase5,Aion,4107,30,Aion_len8,8,0,1460,12,false,true,false,true,false,6,frame:4107|label:Aion|offset_mod8:6,4,true
motd_phase5,Aion,4107,32,Aion_len8,8,0,1460,12,false,true,false,true,false,238,frame:4107|label:Aion|offset_mod8:0,5,true
