candidate_id,function_address,function_name,final_disposition,store_rows,received_data_dependency,reason
P622-KS-001,11B5863D,FUN_11b5863d,inspected_unresolved,1,False,"Store/key arithmetic inspected, but no receive-buffer/server-handshake seed to S2C context offset/write relation proven."
P622-KS-002,11B559CD,FUN_11b559cd,inspected_unresolved,1,False,"Store/key arithmetic inspected, but no receive-buffer/server-handshake seed to S2C context offset/write relation proven."
P622-KS-003,11B59392,FUN_11b59392,inspected_unresolved,1,False,"Store/key arithmetic inspected, but no receive-buffer/server-handshake seed to S2C context offset/write relation proven."
P622-KS-004,11B581C1,FUN_11b581c1,inspected_unresolved,1,False,"Store/key arithmetic inspected, but no receive-buffer/server-handshake seed to S2C context offset/write relation proven."
P622-KS-005,11B57BDB,FUN_11b57bdb,inspected_unresolved,1,False,"Store/key arithmetic inspected, but no receive-buffer/server-handshake seed to S2C context offset/write relation proven."
P622-KS-006,11B56B2C,FUN_11b56b2c,inspected_unresolved,1,False,"Store/key arithmetic inspected, but no receive-buffer/server-handshake seed to S2C context offset/write relation proven."
P622-KS-007,11B564BE,FUN_11b564be,inspected_unresolved,1,False,"Store/key arithmetic inspected, but no receive-buffer/server-handshake seed to S2C context offset/write relation proven."
P622-KS-008,11B57075,FUN_11b57075,inspected_unresolved,1,False,"Store/key arithmetic inspected, but no receive-buffer/server-handshake seed to S2C context offset/write relation proven."
P622-KS-009,11B59765,FUN_11b59765,inspected_unresolved,1,False,"Store/key arithmetic inspected, but no receive-buffer/server-handshake seed to S2C context offset/write relation proven."
P622-KS-010,11B58D6C,FUN_11b58d6c,inspected_unresolved,1,False,"Store/key arithmetic inspected, but no receive-buffer/server-handshake seed to S2C context offset/write relation proven."
